loss	acc	f1	prec	recl	time(s)	total time(s)
0	0.75	0.75	0.75	0.75	0.10210967063903809	0.10440731048583984
0.0	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.9769272804260254	0.9798204898834229
0	0.75	0.75	0.75	0.75	0.10187387466430664	0.10418343544006348
0.0	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.9755911827087402	0.9783070087432861
0	0.875	0.875	0.875	0.875	0.1019134521484375	0.10421109199523926
0.0	0.8157894736842105	0.8157894736842104	0.8157894736842105	0.8157894736842105	0.9803669452667236	0.9832248687744141
0	0.75	0.75	0.75	0.75	0.10309743881225586	0.10540103912353516
0.0	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.9855997562408447	0.9885079860687256
0	0.75	0.75	0.75	0.75	0.10169720649719238	0.10393118858337402
0.0	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.8289473684210527	0.9741132259368896	0.9768459796905518
0	0.75	0.75	0.75	0.75	0.10148382186889648	0.10382747650146484
0.0	0.8421052631578947	0.8421052631578947	0.8421052631578947	0.8421052631578947	0.9740505218505859	0.9768815040588379
0	0.375	0.375	0.375	0.375	0.10256409645080566	0.10484528541564941
0.0	0.34210526315789475	0.34210526315789475	0.34210526315789475	0.34210526315789475	0.972952127456665	0.9758236408233643
0	0.625	0.625	0.625	0.625	0.10111880302429199	0.10347890853881836
0.0	0.4868421052631579	0.4868421052631579	0.4868421052631579	0.4868421052631579	0.9669055938720703	0.9697484970092773
0	0.25	0.25	0.25	0.25	0.101287841796875	0.10353851318359375
0.0	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.9698002338409424	0.9726138114929199
0	0.375	0.375	0.375	0.375	0.11760616302490234	0.11994719505310059
0.0	0.5394736842105263	0.5394736842105263	0.5394736842105263	0.5394736842105263	1.1057560443878174	1.1085238456726074
0	0.625	0.625	0.625	0.625	0.10209798812866211	0.1044764518737793
0.0	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.9756519794464111	0.9785745143890381
0	0.625	0.625	0.625	0.625	0.10216093063354492	0.10457491874694824
0.0	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.9738304615020752	0.976611852645874
0	0.75	0.75	0.75	0.75	0.10168623924255371	0.10421156883239746
0.0	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.9756252765655518	0.9785771369934082
0	0.25	0.25	0.25	0.25	0.1020822525024414	0.10438823699951172
0.0	0.5263157894736842	0.5263157894736842	0.5263157894736842	0.5263157894736842	0.99263596534729	0.9956023693084717
0	0.625	0.625	0.625	0.625	0.10341238975524902	0.10570764541625977
0.0	0.6578947368421053	0.6578947368421053	0.6578947368421053	0.6578947368421053	0.9787676334381104	0.9818644523620605
0	0.5	0.5	0.5	0.5	0.10184001922607422	0.10429692268371582
